Type,R,Mana cost,Mana value,P,T,L,Price (USD),Watermark,Color
Creature — Human Wizard,R,{2}{B},3,2,2,,0.21,,B
Creature — Human Shaman,U,{1}{R},2,2,1,,0.31,,R
Enchantment,C,{1}{U},2,,,,0.03,,U
Creature — Spirit,C,{3}{B},4,3,2,,0.04,,B
Sorcery,U,{2}{R},3,,,,0.17,,R
Creature — Angel,R,{4}{W}{W},6,5,5,,0.27,,W
Creature — Human Artificer,C,{2}{U},3,2,3,,0.03,,U
Instant,R,{3}{U}{U},5,,,,0.43,,U
Enchantment,R,{3}{R},4,,,,0.42,,R
Legendary Planeswalker — Ajani,M,{3}{W},4,,,4,7.36,,W
Creature — Cat Soldier,U,{1}{W},2,2,2,,0.19,,W
Creature — Human Berserker,U,{1}{R},2,2,1,,0.07,,R
Creature — Salamander Wizard,C,{3}{U},4,3,2,,0.03,,U
Creature — Ape,U,{4}{G}{G},6,6,5,,0.09,,G
Legendary Creature — Angel,R,{2}{W}{W}{W},5,5,4,,0.54,,W
Artifact — Equipment,R,{4},4,,,,0.23,,
Instant,U,{1}{G},2,,,,0.23,,G
Enchantment — Aura,U,{2}{W},3,,,,0.21,,W
Land,R,,0,,,,1.24,,RW
Creature — Sliver,U,{2}{R},3,2,2,,0.28,,R
Creature — Zombie Cat,C,{1}{B},2,1,1,,0.09,,B
Instant,C,{5}{R},6,,,,0.03,,R
Creature — Vampire,U,{3}{B}{B},5,3,3,,0.09,,B
Creature — Giant Monk,U,{6}{W},7,4,4,,0.21,,W
Creature — Human Warrior,C,{1}{R},2,1,2,,0.01,,R
Artifact — Equipment,U,{3},3,,,,0.09,,
Artifact Creature — Sable,C,{2},2,2,1,,0.01,,
Creature — Human Shaman,U,{3}{R},4,2,3,,0.08,,R
Enchantment — Aura,R,{4}{R},5,,,,0.3,,R
Instant,C,{1}{U}{U},3,,,,0.09,,U
Creature — Plant Elemental Beast,C,{4}{G}{G},6,4,5,,0.03,,G
Creature — Zombie Bird,C,{2}{B},3,2,2,,0.04,,B
Enchantment — Aura,U,{4}{B}{B},6,,,,0.05,,B
Land,R,,0,,,,0.63,,WB
Creature — Centaur Warrior,C,{2}{G},3,3,3,,0.1,,G
Legendary Planeswalker — Chandra,M,{2}{R}{R},4,,,4,0.86,,R
Creature — Rhino,C,{3}{G}{G},5,4,4,,0.01,,G
Creature — Squid Horror,R,{2}{U},3,1,1,,0.57,,U
Creature — Vedalken Artificer,R,{1}{U},2,1,3,,0.91,,U
Creature — Vampire,C,{1}{B},2,2,1,,0.05,,B
Instant,R,{X}{G}{G}{G},3,,,,6.5,,G
Instant,C,{5}{U},6,,,,0.07,,U
Enchantment,U,{1}{R},2,,,,0.25,,R
Sorcery,C,{R},1,,,,0.01,,R
Sorcery,U,{3}{R}{R},5,,,,0.04,,R
Instant,U,{3}{W},4,,,,0.15,,W
Creature — Sliver,U,{5}{W},6,3,3,,0.57,,W
Creature — Wall,C,{2}{U},3,1,3,,0.1,,U
Sorcery,C,{6}{B},7,,,,0.04,,B
Enchantment — Aura,C,{B},1,,,,0.06,,B
Instant,C,{R},1,,,,0.05,,R
Enchantment,R,{3}{R},4,,,,1.95,,R
Creature — Human Assassin,R,{B},1,1,1,,0.21,,B
Artifact Land,U,,0,,,,0.45,,
Creature — Human Soldier,U,{1}{W},2,2,1,,0.05,,WU
Instant,U,{1}{W}{W},3,,,,0.12,,W
Creature — Sliver,U,{1}{U},2,1,1,,1.66,,U
Instant,U,{1}{U}{U},3,,,,0.16,,U
Sorcery,C,{2}{U},3,,,,0.06,,U
Enchantment — Aura,C,{1}{W},2,,,,0.07,,W
Instant,C,{3}{W},4,,,,0.03,,W
Creature — Elf Druid,C,{G},1,1,1,,0.35,,G
Enchantment — Aura,C,{1}{U}{U},3,,,,0.05,,U
Sorcery,U,{4}{B}{B},6,,,,0.1,,B
Enchantment — Aura,U,{1}{U},2,,,,0.37,,U
Instant,C,{1}{W},2,,,,0.1,,W
Enchantment — Aura,C,{1}{B},2,,,,0.17,,B
Land,C,,0,,,,0.18,,
Enchantment,U,{2}{B},3,,,,0.22,,B
Sorcery,U,{8}{G},9,,,,0.06,,G
Sorcery,C,{2}{B},3,,,,0.03,,B
Enchantment,U,{3}{W},4,,,,0.09,,W
Instant,C,{3}{B}{B},5,,,,0.03,,B
Basic Land — Forest,C,,0,,,,0.09,,
Creature — Devil,C,{R},1,1,1,,0.03,,R
Creature — Goblin Warrior,C,{R},1,1,1,,0.19,,R
Creature — Goblin Berserker,U,{R},1,1,1,,0.18,,R
Creature — Elemental Cat,C,{2}{U},3,2,2,,0.02,,U
Creature — Human Wizard,C,{U},1,1,1,,0.02,,U
Creature — Dragon,U,{2}{R}{R},4,2,2,,0.02,,R
Artifact Creature — Gargoyle,U,{3},3,3,3,,0.06,,
Legendary Planeswalker — Garruk,M,{5}{B}{G},7,,,5,21.93,,BG
Creature — Beast,U,{4}{G},5,4,4,,0.25,,G
Instant,U,{G},1,,,,0.02,,G
Creature — Spirit,U,{1}{W}{W},3,3,1,,0.03,,W
Creature — Elemental,C,{1}{R},2,2,1,,0.09,,R
Creature — Plant Hydra,R,{X}{G}{G},2,0,0,,0.29,,G
Creature — Elemental,C,{4}{U}{U},6,5,5,,0.02,,U
Creature — Goblin Warrior,R,{1}{R},2,1,2,,0.24,,R
Creature — Goblin Warrior,R,{2}{R},3,2,2,,3.03,,R
Creature — Goblin Knight,C,{2}{R},3,3,2,,0.07,,R
Creature — Zombie,U,{3}{B},4,2,2,,0.08,,B
Artifact,R,{2},2,,,,0.24,,
Enchantment — Aura,C,{R},1,,,,0.05,,R
Artifact — Equipment,R,{4},4,,,,0.14,,
Instant,U,{X}{R},1,,,,0.06,,R
Creature — Human Cleric,C,{2}{W},3,1,2,,0.11,,W
Creature — Dragon,R,{3}{R}{R},5,4,4,,0.24,,R
Creature — Insect,R,{2}{G},3,0,2,,0.76,,G
Creature — Insect,R,{4}{G}{G}{G},7,2,2,,0.42,,G
Artifact — Equipment,U,{1},1,,,,0.22,,
Sorcery,C,{3}{G},4,,,,0.05,,G
Instant,C,{2}{G},3,,,,0.06,,G
Creature — Hippogriff,R,{2}{W},3,2,1,,0.36,,W
Instant,C,{U},1,,,,0.04,,U
Creature — Angel Illusion,U,{2}{U},3,4,4,,0.14,,U
Sorcery,R,{7}{B}{B},9,,,,1.01,,B
Creature — Demon,R,{3}{B}{B},5,5,3,,0.51,,B
Enchantment — Aura,C,{1}{R},2,,,,0.07,,R
Instant,C,{2}{W}{W},4,,,,0.05,,W
Sorcery,U,{3}{U},4,,,,0.04,,U
Creature — Insect,C,{2}{G},3,3,3,,0.07,,G
Enchantment — Aura,C,{U}{U},2,,,,0.05,,U
Basic Land — Island,C,,0,,,,0.07,,
Legendary Planeswalker — Jace,M,{2}{U}{U},4,,,5,1.32,,U
Instant,U,{3}{U}{U},5,,,,0.08,,U
Legendary Creature — Human Wizard,R,{3}{U},4,2,2,,0.25,,U
Creature — Leech,U,{2}{U},3,1,3,,0.05,,UB
Artifact Creature — Juggernaut,U,{4},4,5,3,,0.03,,
Creature — Treefolk Warrior,R,{5}{G},6,*,*,,0.29,,G
Creature — Fish,U,{4}{U}{U},6,3,3,,0.12,,U
Creature — Kithkin Soldier,C,{1}{W},2,2,2,,0.04,,W
Creature — Ape,U,{3}{R},4,3,3,,0.11,,GR
Creature — Goblin Warrior,C,{1}{R}{R},3,2,2,,0.09,,R
Legendary Creature — Ogre Spirit,R,{2}{R}{R},4,4,3,,0.24,,R
Sorcery,C,{4}{R},5,,,,0.05,,R
Creature — Sliver,U,{1}{B},2,1,1,,0.75,,B
Sorcery,R,{1}{G},2,,,,1.32,,G
Instant,C,{1}{R},2,,,,0.09,,R
Legendary Planeswalker — Liliana,M,{3}{B}{B},5,,,5,5.72,,B
Creature — Plant Elemental,C,{3}{G},4,2,3,,0.04,,G
Land,R,,0,,,,1.13,,BG
Creature — Djinn,R,{4}{U}{U},6,5,6,,0.06,,U
Enchantment — Aura,C,{3}{W},4,,,,0.05,,W
Sorcery,R,{5}{W}{W},7,,,,2.79,,W
Creature — Sphinx,R,{3}{U}{U},5,4,4,,0.25,,U
Instant,C,{3}{W}{W},5,,,,0.04,,W
Creature — Shapeshifter,R,{4}{U},5,0,0,,0.27,,U
Artifact,U,{5},5,,,,0.04,,
Creature — Human Soldier,C,{2}{W},3,2,3,,0.09,,W
Enchantment,U,{5}{R},6,,,,0.12,,R
Enchantment,U,{1}{U},2,,,,0.19,,U
Sorcery,C,{2}{B},3,,,,0.02,,B
Sorcery,C,{1}{U},2,,,,0.21,,U
Creature — Elemental,C,{4}{R}{R},6,6,3,,0.02,,R
Basic Land — Mountain,C,,0,,,,0.09,,
Instant,C,{1}{G},2,,,,0.05,,G
Instant,C,{2}{B},3,,,,0.05,,B
Creature — Phyrexian Horror,U,{2}{B},3,3,3,,0.04,,B
Creature — Zombie,C,{2}{B},3,3,1,,0.07,,B
Enchantment,R,{1}{B},2,,,,0.26,,B
Instant,C,{1}{U},2,,,,0.1,,U
Creature — Spider,C,{2}{G},3,2,3,,0.02,,G
Creature — Zombie Giant,U,{4}{B},5,4,3,,0.09,,BR
Creature — Nightmare Horse,R,{5}{B},6,*,*,,0.12,,B
Creature — Elemental,C,{4}{U},5,3,3,,0.04,,U
Legendary Planeswalker — Nissa,M,{3}{G}{G},5,,,3,4.3,,G
Sorcery,U,{4}{G},5,,,,0.13,,G
Legendary Creature — Demon,R,{4}{B}{B},6,4,4,,1.72,,B
Artifact,R,{6},6,,,,1.9,,
Enchantment — Aura,C,{W},1,,,,0.07,,W
Creature — Cat Warrior,C,{1}{W},2,3,1,,0.02,,W
Artifact Creature — Thopter,C,{0},0,0,2,,0.21,,
Sorcery,U,{5}{G}{G},7,,,,0.05,,G
Creature — Human Druid,U,{3}{G},4,2,2,,0.19,,G
Creature — Human Warrior,U,{3}{R},4,2,2,,0.16,,R
Creature — Human Wizard,U,{3}{U},4,2,2,,0.18,,U
Creature — Human Soldier,U,{3}{W},4,2,2,,0.2,,W
Creature — Skeleton Warrior,U,{3}{B},4,2,2,,0.25,,B
Instant,C,{1}{U},2,,,,0.03,,U
Artifact,M,{4},4,,,,1.81,,
Artifact Creature — Phyrexian Horror,R,{2},2,2,1,,0.43,,
Creature — Plant Elemental,R,{4}{G}{G},6,7,2,,0.4,,G
Instant,C,{2}{W},3,,,,0.05,,W
Basic Land — Plains,C,,0,,,,0.06,,
Instant,C,{1}{G},2,,,,0.02,,G
Instant,R,{1}{U}{U},3,,,,3.17,,U
Creature — Kithkin Soldier,R,{2}{W},3,2,2,,0.42,,W
Artifact,U,{1},1,,,,0.42,,
Creature — Faerie Rogue,U,{1}{U},2,2,2,,0.21,,U
Land,C,,0,,,,0.21,,
Instant,C,{1}{W},2,,,,0.03,,W
Instant,C,{G},1,,,,0.08,,G
Creature — Griffin,C,{3}{W},4,2,2,,0.01,,W
Creature — Elf Shaman,U,{2}{G},3,2,1,,0.32,,G
Creature — Human Wizard,C,{1}{U},2,1,3,,0.04,,U
Creature — Angel,R,{5}{W}{W},7,4,4,,0.91,,W
Sorcery,U,{3}{G}{G},5,,,,0.19,,G
Sorcery,R,{X}{W}{W},2,,,,2.52,,W
Creature — Beast,U,{3}{G},4,4,4,,0.06,,G
Artifact — Equipment,U,{2},2,,,,0.22,,
Creature — Insect,C,{4}{B},5,3,5,,0.03,,B
Creature — Goblin Rogue,C,{2}{R},3,1,1,,0.05,,R
Creature — Bear,C,{1}{G},2,2,2,,0.11,,G
Artifact,U,{2},2,,,,0.17,,
Instant,C,{4}{W},5,,,,0.02,,W
Creature — Satyr,C,{1}{G},2,1,1,,0.11,,G
Creature — Dog,C,{3}{R},4,3,3,,0.08,,R
Artifact Creature — Construct,R,{6},6,6,6,,0.22,,
Instant,C,{2}{R},3,,,,0.09,,R
Creature — Human Cleric,C,{W},1,1,1,,0.04,,W
Creature — Vampire,U,{3}{B}{B},5,4,4,,0.12,,B
Creature — Angel,U,{5}{W}{W},7,*,*,,0.13,,W
Creature — Angel,U,{3}{W}{W},5,4,4,,0.09,,W
Creature — Vampire,C,{4}{B},5,4,3,,0.03,,B
Creature — Elf Shaman,C,{3}{G},4,2,2,,0.09,,G
Artifact — Equipment,R,{1},1,,,,0.21,,
Creature — Dragon,R,{4}{R}{R},6,5,5,,0.11,,R
Land,R,,0,,,,1.59,,UR
Instant,U,{1}{R},2,,,,0.23,,R
Creature — Dragon,R,{5}{R}{R},7,5,5,,0.29,,R
Creature — Wurm,C,{5}{G}{G},7,5,5,,0.05,,G
Sorcery,C,{B}{B},2,,,,0.34,,B
Land,R,,0,,,,10.15,,
Legendary Creature — Sliver,M,{W}{U}{B}{R}{G},5,5,5,,13.62,,WUBGR
Sorcery,C,{2}{W},3,,,,0.06,,W
Creature — Avatar,M,{4}{B}{B},6,6,6,,0.28,,B
Artifact Creature — Phyrexian Avatar,M,{6},6,6,6,,2.27,,
Creature — Avatar,M,{4}{U}{U},6,6,6,,0.29,,U
Creature — Avatar,M,{4}{R}{R},6,6,6,,0.25,,R
Creature — Avatar,M,{4}{W}{W},6,6,6,,0.37,,W
Creature — Avatar,M,{4}{G}{G},6,6,6,,0.24,,G
Creature — Human Cleric,C,{W},1,1,1,,0.05,,W
Enchantment — Aura,R,{3}{W}{W},5,,,,2.21,,W
Enchantment,R,{1}{W},2,,,,0.39,,W
Enchantment — Aura,U,{2}{B},3,,,,0.09,,B
Artifact,U,{3},3,,,,0.23,,
Artifact,U,{3},3,,,,0.12,,
Artifact,U,{3},3,,,,0.16,,
Artifact,U,{3},3,,,,0.14,,
Artifact,U,{3},3,,,,0.11,,
Sorcery,R,{4}{B},5,,,,0.14,,B
Instant,C,{2}{U}{U},4,,,,0.08,,U
Instant,U,{2}{R}{R},4,,,,0.26,,R
Creature — Leviathan,R,{5}{U}{U}{U},8,8,8,,0.36,,U
Creature — Elf Warrior,U,{G},1,1,1,,0.09,,GW
Creature — Pegasus,C,{1}{W},2,1,2,,0.11,,W
Basic Land — Swamp,C,,0,,,,0.1,,
Creature — Beast,R,{3}{G}{G}{G},6,8,8,,0.19,,G
Legendary Artifact,M,{4},4,,,,23.35,,
Creature — Giant,C,{3}{R}{R},5,4,3,,0.03,,R
Creature — Human Cleric,C,{4}{W},5,2,3,,0.01,,W
Instant,C,{1}{G},2,,,,0.04,,G
Creature — Devil,C,{1}{R},2,2,1,,0.09,,R
Artifact,U,{0},0,,,,0.39,,
Sorcery,C,{4}{W}{W},6,,,,0.09,,W
Instant,U,{1}{U},2,,,,0.11,,U
Creature — Rat,C,{B},1,1,1,,0.12,,B
Artifact,C,{2},2,,,,0.03,,
Instant,U,{B},1,,,,0.15,,B
Creature — Fungus Horror,C,{3}{G},4,0,0,,0.15,,G
Instant,C,{4}{B},5,,,,0.06,,B
Legendary Land,R,,0,,,,35.85,,
Creature — Sliver,U,{1}{G},2,1,1,,1.9,,G
Enchantment — Aura,C,{2}{G},3,,,,0.08,,G
Enchantment — Aura,C,{G},1,,,,0.06,,G
Sorcery,C,{U},1,,,,0.18,,U
Creature — Zombie,C,{1}{B},2,2,2,,0.17,,B
Creature — Wall,U,{1}{W},2,0,4,,0.24,,W
Creature — Wall,C,{1}{R}{R},3,0,5,,0.04,,R
Creature — Wall,U,{1}{U}{U},3,0,7,,0.19,,U
Creature — Zombie Wall,U,{2}{B},3,0,3,,0.19,,B
Creature — Wall,U,{1}{G},2,0,4,,0.23,,G
Creature — Human Wizard,U,{2}{W},3,2,2,,0.04,,W
Enchantment,R,{1}{B},2,,,,10.99,,B
Creature — Bird,C,{1}{U},2,2,1,,0.04,,U
Artifact Creature — Golem,C,{6},6,4,4,,0.06,,
Creature — Frog,C,{2}{B},3,2,3,,0.07,,B
Creature — Human Assassin,U,{2}{B},3,2,1,,0.12,,B
Land,R,,0,,,,0.43,,GU
Legendary Creature — Human Rogue Bard,R,{2}{G},3,2,3,,1.43,,G
Creature — Shade,C,{3}{B},4,2,2,,0.04,,B
Legendary Planeswalker — Ugin,M,{8},8,,,7,23.37,,
Legendary Planeswalker — Basri,M,{1}{W}{W},3,,,3,2.89,,W
Legendary Planeswalker — Teferi,M,{2}{U}{U},4,,,3,8.99,,U
Legendary Planeswalker — Liliana,M,{2}{B}{B},4,,,4,7.44,,B
Legendary Planeswalker — Chandra,M,{3}{R}{R},5,,,5,1.34,,R
Legendary Planeswalker — Garruk,M,{2}{G}{G},4,,,4,1.64,,G
Legendary Planeswalker — Ugin,M,{8},8,,,7,23.08,,
Legendary Planeswalker — Basri,M,{1}{W}{W},3,,,3,1.34,,W
Creature — Cat Cleric,C,{2}{W}{W},4,2,3,,0.02,,W
Creature — Human Knight,R,{3}{W},4,3,4,,0.23,,W
Sorcery,U,{1}{W},2,,,,0.14,,W
Legendary Planeswalker — Teferi,M,{2}{U}{U},4,,,3,5.75,,U
Legendary Planeswalker — Teferi,M,{2}{U}{U},4,,,3,5.51,,U
Legendary Planeswalker — Teferi,M,{2}{U}{U},4,,,3,6.38,,U
Legendary Enchantment,R,{2}{U}{U},4,,,,1.72,,U
Creature — Human Wizard,C,{2}{U},3,2,3,,0.02,,U
Enchantment,U,{2}{U},3,,,,0.11,,U
Legendary Planeswalker — Liliana,M,{2}{B}{B},4,,,4,2.11,,B
Creature — Human Warlock,U,{2}{B},3,2,3,,0.05,,B
Creature — Zombie Knight,R,{2}{B},3,3,1,,0.21,,B
Creature — Zombie,C,{B},1,1,2,,0.06,,B
Legendary Planeswalker — Chandra,M,{3}{R}{R},5,,,5,0.89,,R
Creature — Elemental,R,{5}{R},6,6,6,,0.37,,R
Creature — Elemental Dog,C,{1}{R},2,2,2,,0.06,,R
Creature — Elemental Lizard,U,{1}{R},2,1,3,,0.06,,R
Legendary Planeswalker — Garruk,M,{2}{G}{G},4,,,4,1.31,,G
Creature — Beast,C,{4}{G},5,7,3,,0.04,,G
Creature — Beast,R,{1}{G}{G},3,4,3,,0.19,,G
Enchantment,U,{2}{G},3,,,,2.03,,G
Basic Land — Plains,C,,0,,,,0.32,,
Basic Land — Island,C,,0,,,,0.61,,
Basic Land — Swamp,C,,0,,,,0.98,,
Basic Land — Mountain,C,,0,,,,0.73,,
Basic Land — Forest,C,,0,,,,0.49,,
Creature — Human Cleric,R,{1}{W},2,2,2,,0.36,,W
Sorcery,M,{1}{B}{B},3,,,,17.14,,B
Creature — Phyrexian Wurm,M,{3}{B}{B}{B},6,6,5,,4.39,,B
Sorcery,R,{2}{G},3,,,,2.1,,G
Creature — Ooze,R,{1}{G},2,2,2,,0.87,,G
Artifact Creature — Golem,R,{4},4,2,2,,2.16,,
Creature — Angel,M,{3}{W}{W},5,5,5,,8.7,,W
Enchantment,R,{1}{W}{W},3,,,,0.73,,W
Artifact,R,{2}{W},3,,,,0.19,,W
Legendary Creature — Human Cleric,M,{3}{W},4,2,4,,15.96,,W
Enchantment,R,{1}{W}{W},3,,,,1.44,,W
Creature — Dog,R,{1}{W},2,2,2,,0.93,,W
Enchantment,R,{W}{W},2,,,,0.22,,W
Creature — Human Cleric,R,{W},1,1,1,,2.58,,W
Legendary Creature — Human Wizard,R,{1}{U}{U},3,2,2,,0.91,,U
Instant,M,{3}{U}{U}{U},6,,,,3.75,,U
Creature — Spirit Rogue,R,{1}{U},2,2,1,,2.06,,U
Creature — Whale,R,{5}{U}{U},7,8,8,,0.28,,U
Sorcery,R,{1}{U},2,,,,2.49,,U
Creature — Spirit,R,{1}{U},2,2,2,,3.41,,U
Creature — Elemental,R,{3}{U}{U},5,3,3,,2.23,,U
Instant,R,{4}{U}{U},6,,,,6.27,,U
Enchantment — Aura,R,{1}{B}{B},3,,,,0.62,,B
Creature — Snake,R,{2}{B},3,1,4,,1.3,,B
Legendary Creature — Human Warlock,R,{2}{B}{B},4,3,2,,0.43,,B
Sorcery,R,{1}{B}{B},3,,,,3.67,,B
Sorcery,R,{4}{B}{B}{B},7,,,,10.62,,B
Creature — Human Rogue,R,{B},1,1,1,,1.61,,B
Legendary Creature — Vampire Cleric,R,{2}{B},3,1,3,,12.2,,B
Creature — Goblin,R,{4}{R},5,1,1,,4.12,,R
Creature — Goblin Rogue,R,{R}{R},2,2,2,,6.96,,R
Enchantment,R,{3}{R}{R},5,,,,3.44,,R
Enchantment,M,{3}{R}{R}{R},6,,,,28.8,,R
Legendary Creature — Dragon,R,{2}{R},3,5,4,,4.24,,R
Legendary Creature — Human Shaman,R,{2}{R},3,2,3,,0.51,,R
Creature — Dragon,M,{3}{R}{R},5,5,4,,72.8,,R
Sorcery,R,{3}{R},4,,,,2.29,,R
Sorcery,R,{10}{R}{R},12,,,,0.24,,R
Legendary Creature — Human Monk,R,{2}{G},3,1,2,,12.24,,G
Creature — Beast,M,{3}{G}{G},5,6,6,,19.47,,G
Creature — Cat,R,{2}{G},3,2,3,,2.62,,G
Instant,R,{1}{G},2,,,,18.23,,G
Legendary Creature — Human Druid,R,{1}{G},2,1,2,,0.68,,G
Sorcery,R,{X}{G},1,,,,1.02,,G
Creature — Spider,R,{2}{G},3,1,4,,0.65,,G
Legendary Creature — Human Cleric,R,{W}{U},2,2,1,,1.01,,WU
Legendary Creature — Elf Warrior,R,{1}{R}{G},3,3,3,,2.37,,GR
Legendary Enchantment — Shrine,R,{W}{U}{B}{R}{G},5,,,,2.71,,WUBGR
Legendary Artifact,M,{7},7,,,,30.87,,
Artifact,R,{2},2,,,,2.21,,
Artifact Creature — Masticore,R,{3},3,3,4,,0.18,,
Land,R,,0,,,,2.7,,
Land,R,,0,,,,9.55,,
Land,R,,0,,,,1.8,,UR
Land,R,,0,,,,2.02,,BG
Land,R,,0,,,,1.24,,GU
Land,R,,0,,,,1.76,,WB
Land,R,,0,,,,1.78,,RW
Creature — Dog,R,{1}{W},2,2,2,,0.34,,W
Creature — Dog,U,{W},1,1,1,,0.54,Planeswalker,W
Instant,C,{1}{U},2,,,,0.33,Planeswalker,U
Instant,U,{1}{B},2,,,,0.36,Planeswalker,B
Creature — Human Wizard,U,{1}{R},2,2,2,,0.22,Planeswalker,R
Creature — Elf Druid,C,{2}{G},3,2,2,,0.79,Planeswalker,G
Basic Land — Forest,C,,0,,,,0.28,,
Basic Land — Forest,C,,0,,,,0.07,,
Basic Land — Forest,C,,0,,,,0.08,,
Basic Land — Island,C,,0,,,,0.08,,
Basic Land — Island,C,,0,,,,0.07,,
Basic Land — Island,C,,0,,,,0.08,,
Basic Land — Mountain,C,,0,,,,0.08,,
Basic Land — Mountain,C,,0,,,,0.15,,
Basic Land — Mountain,C,,0,,,,0.07,,
Basic Land — Plains,C,,0,,,,0.06,,
Basic Land — Plains,C,,0,,,,0.08,,
Basic Land — Plains,C,,0,,,,0.06,,
Basic Land — Swamp,C,,0,,,,0.1,,
Basic Land — Swamp,C,,0,,,,0.08,,
Basic Land — Swamp,C,,0,,,,0.17,,
Basic Land — Forest,C,,0,,,,0.91,,
Basic Land — Forest,C,,0,,,,0.08,,
Basic Land — Forest,C,,0,,,,0.07,,
Basic Land — Island,C,,0,,,,0.56,,
Basic Land — Island,C,,0,,,,0.06,,
Basic Land — Island,C,,0,,,,0.07,,
Basic Land — Mountain,C,,0,,,,0.61,,
Basic Land — Mountain,C,,0,,,,0.12,,
Basic Land — Mountain,C,,0,,,,0.06,,
Basic Land — Plains,C,,0,,,,0.29,,
Basic Land — Plains,C,,0,,,,0.07,,
Basic Land — Plains,C,,0,,,,0.06,,
Basic Land — Swamp,C,,0,,,,0.33,,
Basic Land — Swamp,C,,0,,,,0.08,,
Basic Land — Swamp,C,,0,,,,0.16,,
Basic Land — Forest,C,,0,,,,0.04,,
Basic Land — Forest,C,,0,,,,0.05,,
Basic Land — Island,C,,0,,,,0.55,,
Basic Land — Island,C,,0,,,,0.04,,
Basic Land — Mountain,C,,0,,,,0.05,,
Basic Land — Mountain,C,,0,,,,0.05,,
Basic Land — Plains,C,,0,,,,0.25,,
Basic Land — Plains,C,,0,,,,0.05,,
Basic Land — Swamp,C,,0,,,,0.41,,
Basic Land — Swamp,C,,0,,,,0.06,,
Legendary Planeswalker — Teferi,M,{2}{U}{U},4,,,3,6.04,,U
Legendary Planeswalker — Teferi,M,{2}{U}{U},4,,,3,5.34,,U
Legendary Planeswalker — Teferi,M,{2}{U}{U},4,,,3,5.49,,U
Legendary Planeswalker — Teferi,M,{2}{U}{U},4,,,3,5.25,,U
Basic Land — Forest,C,,0,,,,0.21,,
Basic Land — Forest,C,,0,,,,0.12,,
Basic Land — Forest,C,,0,,,,0.11,,
Basic Land — Island,C,,0,,,,0.12,,
Basic Land — Island,C,,0,,,,0.16,,
Basic Land — Island,C,,0,,,,0.12,,
Basic Land — Mountain,C,,0,,,,0.18,,
Basic Land — Mountain,C,,0,,,,0.13,,
Basic Land — Mountain,C,,0,,,,0.09,,
Basic Land — Plains,C,,0,,,,0.1,,
Basic Land — Plains,C,,0,,,,0.12,,
Basic Land — Plains,C,,0,,,,0.14,,
Basic Land — Swamp,C,,0,,,,0.13,,
Basic Land — Swamp,C,,0,,,,0.11,,
Basic Land — Swamp,C,,0,,,,0.13,,
Basic Land — Forest,C,,0,,,,0.08,,
Basic Land — Forest,C,,0,,,,0.19,,
Basic Land — Forest,C,,0,,,,0.13,,
Basic Land — Island,C,,0,,,,0.24,,
Basic Land — Island,C,,0,,,,0.21,,
Basic Land — Island,C,,0,,,,0.12,,
Basic Land — Mountain,C,,0,,,,0.1,,
Basic Land — Mountain,C,,0,,,,0.1,,
Basic Land — Mountain,C,,0,,,,0.15,,
Basic Land — Plains,C,,0,,,,0.24,,
Basic Land — Plains,C,,0,,,,0.24,,
Basic Land — Plains,C,,0,,,,0.15,,
Basic Land — Swamp,C,,0,,,,0.27,,
Basic Land — Swamp,C,,0,,,,0.18,,
Basic Land — Swamp,C,,0,,,,0.2,,
Basic Land — Forest,C,,0,,,,0.08,,
Basic Land — Forest,C,,0,,,,0.08,,
Basic Land — Forest,C,,0,,,,0.07,,
Basic Land — Island,C,,0,,,,0.11,,
Basic Land — Island,C,,0,,,,0.11,,
Basic Land — Island,C,,0,,,,0.13,,
Basic Land — Mountain,C,,0,,,,0.17,,
Basic Land — Mountain,C,,0,,,,0.08,,
Basic Land — Mountain,C,,0,,,,0.11,,
Basic Land — Plains,C,,0,,,,0.14,,
Basic Land — Plains,C,,0,,,,0.11,,
Basic Land — Plains,C,,0,,,,0.1,,
Basic Land — Swamp,C,,0,,,,0.15,,
Basic Land — Swamp,C,,0,,,,0.13,,
Basic Land — Swamp,C,,0,,,,0.21,,
Basic Land — Forest,C,,0,,,,0.1,,
Basic Land — Forest,C,,0,,,,0.11,,
Basic Land — Forest,C,,0,,,,0.19,,
Basic Land — Island,C,,0,,,,0.16,,
Basic Land — Island,C,,0,,,,0.13,,
Basic Land — Island,C,,0,,,,0.09,,
Basic Land — Mountain,C,,0,,,,0.08,,
Basic Land — Mountain,C,,0,,,,0.12,,
Basic Land — Mountain,C,,0,,,,0.15,,
Basic Land — Plains,C,,0,,,,0.12,,
Basic Land — Plains,C,,0,,,,0.13,,
Basic Land — Plains,C,,0,,,,0.11,,
Basic Land — Swamp,C,,0,,,,0.11,,
Basic Land — Swamp,C,,0,,,,0.13,,
Basic Land — Swamp,C,,0,,,,0.11,,
Basic Land — Forest,C,,0,,,,0.08,,
Basic Land — Forest,C,,0,,,,0.1,,
Basic Land — Forest,C,,0,,,,0.1,,
Basic Land — Island,C,,0,,,,0.07,,
Basic Land — Island,C,,0,,,,0.11,,
Basic Land — Island,C,,0,,,,0.12,,
Basic Land — Mountain,C,,0,,,,0.07,,
Basic Land — Mountain,C,,0,,,,0.08,,
Basic Land — Mountain,C,,0,,,,0.09,,
Basic Land — Plains,C,,0,,,,0.1,,
